,MosqueName,MosqueAddress
7,Mosquée Turque,6 avenue Jean Mantelet - 61000 ALENÇON
8,Mosquée Musulman d'Alençon,3 rue des Portes de la Barre - 61000 ALENÇON
9,Mosquée Mahabba,9 place de la Paix - 61000 ALENÇON
0,Mosquée FRATERNITE,"3, Boulevard de l\'Europe - 21800 QUETIGNY"
1,Mosquée Ennour,35 Rue des Ares Cautins - 21200 BEAUNE
2,Mosquée ER-Rahma,"17, rue Paul Langevin - 21300 CHENOVE"
3,Mosquée Assalam,1 Impasse de Montbouchard - 21800 QUETIGNY
4,Mosquée,"13, route de Dijon - 21170 SAINT USAGE"
5,Rassemblement de Solengey,"4, rue du Renard - 21260 SELONGEY"
6,Mosquée,"13, rue Jammet Thiard - 21500 MONTBARD"
7,Mosquée,"6, rue Marie Noel - 21600 LONGVIC"
8,Mosquée,"11, rue des Layottes - 21550 LADOIX SERRIGNY"
9,Mosquée,"14, rue du Professeur-Bogeot - 21800 QUETIGNY"
10,Mosquée,"12-14, rue des Prés Bourgeot - 21800 QUETIGNY"
11,Mosquée,rue Pasteur - 21120 IS SUR TILLE
12,Mosquée,"1, rue des Verriers - 21000 DIJON"
13,Mosquée,"9, rue Castelnau - 21000 DIJON"
14,Mosquée,"4, avenue du Lac - 21000 DIJON"
15,Mosquée EN-Nour,"6, Impasse Clément d'Esormes - 21000 DIJON"
16,Mosquée,"23, rue Frédéric Mistral - 21000 DIJON"
17,Mosquée El-Imane,"1, allée du Doubs - 21000 DIJON"
18,Mosquée EL-Imane,"7, rue de la Loire - 21000 DIJON"
19,Mosquée Al Kheyr,17 Rue Charles Dumont - 21000 DIJON
20,Salle de prière,2bis Rue Lamartine - 21000 MONTBARD
0,Mosquée du Pardon,3 Rue Albert Thomas  - 58000 NEVERS
1,Mosquée EL-MAGHFIRA,"3, rue Albert Thomas - 58000 NEVERS"
2,Mosquée,"2, allée du Berry - 58200 COSNE COURS SUR LOIRE"
3,Mosquée,Rue du Maréchal Lyautey Grande Pature - 58000 NEVERS
4,Mosquée,"10, rue de Perthuy D'Oiseau - 58120 CHATEAU CHINON VILLE"
0,Mosquée Association Turque,6 Rue Sadi Carnot et L J Thénard - 71530 CHAMPFORGEUIL
1,Mosquée ,2 Rue de Parpas - 71400 AUTUN
2,Mosquée,"152, rue Olivier de Serres - 71000 MACON"
3,Mosquée,"25, rue de Macon - 71210 MONTCHANIN"
4,Mosquée,Champs Batard - 71210 TORCY
5,Mosquée,"15, rue du Bois Clair - 71300 MONTCEAU LES MINES"
6,Mosquée,"29, rue de Mãcon - 71300 MONTCEAU LES MINES"
7,Mosquée,"70, rue Frédéric Mistral - 71000 MACON"
8,Mosquée,"47, avenue de la République - 71200 LE CREUSOT"
9,Mosquée,"71, rue des Riaux - 71200 LE CREUSOT"
10,Mosquée,"21, rue de Brassac - 71200 LE CREUSOT"
11,Mosquée,"3, rue de Vesvres - 71130 GUEUGNON"
12,Mosquée,"228,rue du Pignon-Blanc - 71130 GUEUGNON"
13,Mosquée,rue Victor Hugo - 71160 DIGOIN
14,Mosquée,"2, rue Martin Luther King - 71100 CHALON SUR SAONE"
15,Mosquée Es-Salam,"13, rue de Bourgogne - 71100 CHALON SUR SAONE"
16,Mosquée El-Fath,"4, rue Edgard Quinet - 71100 CHALON SUR SAONE"
17,Mosquée,rue du Faubourg saint-Andoche - 71400 AUTUN
18,Mosquée,"1, rue du Huit Septembre - 71400 AUTUN"
19,Mosquée,"1, rue du 11 Novembre - 71400 AUTUN"
20,Mosquée,9 / 27 Quartier St-Panthaléon - 71400 AUTUN
21,Mosquée Association Essalam,13 Rue de Bourgogne - 71100 CHALON-SUR-SAÔNE
0,Association cultuelle et culturelle de Sens et sa région,15 Rue Marcelin Berthelot - 89100 SENS
1,Mosquée,"12, rue du 8 Mai 1945 - 89500 VILLENEUVE SUR YONNE"
2,Mosquée,"18 bis, rue Emile Bernard - 89700 TONNERRE"
3,Mosquée EL-Fath,"5, place Maurice Ravel - 89600 SAINT FLORENTIN"
4,Mosquée,"6, rue de la Loupière - 89100 SENS"
5,Mosquée,"40, rue Jules Guesdes - 89400 MIGENNES"
6,Mosquée,"52 bis, rue Emile Zola - 89400 MIGENNES"
7,Mosquée,"14, rue du Groupe Bayard - 89300 JOIGNY"
8,Mosquée,rue Corneille - 89300 JOIGNY
9,Union Islamique d'Auxerre,"27, place Coro - 89000 AUXERRE"
10,Mosquée,"10, allée Wateau - 89000 AUXERRE"
11,Salle de priere foyer,"14, Rue de Berry - 89000 AUXERRE"
12,Salle de prière Foyer,Vergigny-Yenne  - 89780 SAINT FLORENTIN
13,Salle de Prière d'Avallon,Rue Guynemer - 89200 AVALLON
14,Association culturel musulmane,1 Rue des cordeliers - 89150 SAINT VALERIEN
