"","X","Address","lon","lat","AddressTrimmed"
"2673",53,"Gabarret, Aquitaine-Limousin-Poitou-Charentes, 40310  ",0.011111,43.984986,"Gabarret, Aquitaine-Limousin-Poitou-Charentes, 40310  "
"2674",55,"Plerguer, Brittany, 35540  ",-1.848429,48.533976,"Plerguer, Brittany, 35540  "
"2675",57,"La Celle Saint Cloud, Île-de-France, 78170  ",2.1361358,48.8451627,"La Celle Saint Cloud, Île-de-France, 78170  "
"2676",59,"Istres, Alsace-Champagne-Ardenne-Lorraine, 13800  ",4.082333,48.981944,"Istres, Alsace-Champagne-Ardenne-Lorraine, 13800  "
"2677",61,"Lyon, 69006  ",4.8501975,45.7751072,"Lyon, 69006  "
"2678",63,"Ferrieres, Centre-Val de Loire, 45210  ",2.789813,48.090359,"Ferrieres, Centre-Val de Loire, 45210  "
"2679",65,"La Motte Et Turriers, 4250  ",6.168421,44.401171,"La Motte Et Turriers, 4250  "
"2680",67,"Bleone, 4380  ",6.279031,44.147233,"Bleone, 4380  "
"2681",69,"Gorron, Pays de la Loire, 53120  ",-0.813055,48.4116799,"Gorron, Pays de la Loire, 53120  "
"2682",71,"Buchy, Normandy, 76750  ",1.357598,49.584879,"Buchy, Normandy, 76750  "
"2683",73,"Paris, Île-de-France, 75004  ",2.3582788,48.8534275,"Paris, Île-de-France, 75004  "
"2684",75,"Chalindrey, Alsace-Champagne-Ardenne-Lorraine, 52600  ",5.426026,47.804587,"Chalindrey, Alsace-Champagne-Ardenne-Lorraine, 52600  "
"2685",77,"Bertincourt, Nord-Pas-de-Calais-Picardie, 62124  ",2.981864,50.086803,"Bertincourt, Nord-Pas-de-Calais-Picardie, 62124  "
"2686",79,"Nantes, Pays de la Loire, 44 100  ",-1.553621,47.218371,"Nantes, Pays de la Loire, 44 100  "
"2687",81,"Notre Dame De Bondeville, Normandie, 76960  ",1.0516062,49.4850631,"Notre Dame De Bondeville, Normandie, 76960  "
"2688",83,"Bonsecours, Normandy, 76300  ",1.096025,49.4058441,"Bonsecours, Normandy, 76300  "
"2689",85,"Bonsecours, Normandy, 76240  ",1.128036,49.422429,"Bonsecours, Normandy, 76240  "
"2690",87,"Brest, Brittany, 29200  ",-4.492127,48.4012202,"Brest, Brittany, 29200  "
"2691",89,"Agen, Aquitaine-Limousin-Poitou-Charentes, 47000  ",0.6251541,44.2035321,"Agen, Aquitaine-Limousin-Poitou-Charentes, 47000  "
"2692",91,"Le Cheylard, Auvergne-Rhône-Alpes, 7160  ",4.423175,44.9061,"Le Cheylard, Auvergne-Rhône-Alpes, 7160  "
"2693",93,"Lavardac, Aquitaine-Limousin-Poitou-Charentes, 47230  ",0.295805,44.1772769,"Lavardac, Aquitaine-Limousin-Poitou-Charentes, 47230  "
"2694",95,"Bressuire, Aquitaine-Limousin-Poitou-Charentes, 79300  ",-0.492866,46.84246,"Bressuire, Aquitaine-Limousin-Poitou-Charentes, 79300  "
"2695",97,"Neuvy ur Barangeon, Centre-Val de Loire, 18330  ",2.2537379,47.315155,"Neuvy ur Barangeon, Centre-Val de Loire, 18330  "
"2696",99,"Decines Charpieu, Auvergne-Rhône-Alpes, 69150  ",4.9698439,45.7675942,"Decines Charpieu, Auvergne-Rhône-Alpes, 69150  "
"2697",101,"Moirans En Montagne, Bourgogne Franche-Comté, 39260  ",5.723854,46.4308989,"Moirans En Montagne, Bourgogne Franche-Comté, 39260  "
"2698",103,"Belves, Aquitaine-Limousin-Poitou-Charentes, 24170 View ListingClick To Load More Results Find A Church By NameChurch name:Enter any location:Search Now Featured AdvertisersCBD Superstore > use code 'CatholicLife' -->",1.005432,44.777423,"Belves, Aquitaine-Limousin-Poitou-Charentes, 24170 "
"2699",5,"Villefranche de Rouergue, Languedoc-Roussillon Midi-Pyrénées, 12200  ",2.0341816,44.361285,"Villefranche de Rouergue, Languedoc-Roussillon Midi-Pyrénées, 12200  "
"2700",7,"Marseille, 13012  ",5.4253757,43.3071618,"Marseille, 13012  "
"2701",9,"Creteil, Île-de-France, 94000  ",2.4567614,48.7884823,"Creteil, Île-de-France, 94000  "
"2702",11,"Figeac, Languedoc-Roussillon Midi-Pyrénées, 46100  ",2.032871,44.608288,"Figeac, Languedoc-Roussillon Midi-Pyrénées, 46100  "
"2703",13,"Bourges, Centre-Val de Loire, 18000  ",2.4039338,47.0818269,"Bourges, Centre-Val de Loire, 18000  "
"2704",15,"Saint Saver Calvados, Normandy, 14380  ",-1.0583149,48.84753,"Saint Saver Calvados, Normandy, 14380  "
"2705",17,"Saint Laurent, 39150  ",5.9563,46.575256,"Saint Laurent, 39150  "
"2706",19,"Mugron, Aquitaine-Limousin-Poitou-Charentes, 40250  ",-0.748762,43.751052,"Mugron, Aquitaine-Limousin-Poitou-Charentes, 40250  "
